key,year,team,team_id,league,division,wins,payroll_rank,payroll_total,avg_hit_angle,anglesweetspotpercent,avg,slg
2016TB,2016,Rays,TB,AL,East,68,29," $64,120,323 ",14.5,32.8,0.243,0.426
2016SD,2016,Padres,SD,NL,West,68,20," $100,547,000 ",11.7,31.6,0.235,0.39
2016MIL,2016,Brewers,MIL,NL,Central,73,30," $62,964,319 ",10.1,30.9,0.244,0.407
2015KC,2015,Royals,KC,AL,Central,95,17," $112,914,525 ",11.3,31.5,0.269,0.412
2015BOS,2015,Red Sox,BOS,AL,East,78,5," $168,691,914 ",10.6,30.1,0.265,0.415
2015OAK,2015,Athletics,OAK,AL,West,68,27," $80,786,666 ",10.8,31.3,0.251,0.395
2015SF,2015,Giants,SF,NL,West,84,6," $166,495,942 ",9.1,31.6,0.267,0.406
2015TOR,2015,Blue Jays,TOR,AL,East,93,16," $116,415,800 ",11.4,30.5,0.269,0.457
2015AZ,2015,D-backs,AZ,NL,West,79,30," $65,770,333 ",10,31.8,0.264,0.414
2015MIA,2015,Marlins,MIA,NL,East,71,26," $84,637,500 ",6.2,29.1,0.26,0.384
2015NYY,2015,Yankees,NYY,AL,East,87,2," $213,472,857 ",13.4,32.2,0.251,0.421
2015PIT,2015,Pirates,PIT,NL,Central,98,25," $85,885,832 ",9.3,32.1,0.26,0.396
2015ATL,2015,Braves,ATL,NL,East,67,23," $89,622,648 ",8.4,31.5,0.251,0.359
2015DET,2015,Tigers,DET,AL,Central,74,4," $172,792,250 ",12.4,33.5,0.27,0.42
2015CIN,2015,Reds,CIN,NL,Central,64,14," $117,732,284 ",11.7,31.7,0.248,0.394
2015CLE,2015,Guardians,CLE,AL,Central,81,24," $87,746,766 ",11.2,32.1,0.256,0.401
2015TEX,2015,Rangers,TEX,AL,West,88,8," $144,816,873 ",11,30.5,0.257,0.413
2015CWS,2015,White Sox,CWS,AL,Central,76,18," $110,712,866 ",8.9,29.9,0.25,0.38
2015COL,2015,Rockies,COL,NL,West,68,22," $98,261,171 ",10.9,31.3,0.265,0.432
2015LAA,2015,Angels,LAA,AL,West,85,7," $146,449,583 ",11.2,31.2,0.246,0.396
2015PHI,2015,Phillies,PHI,NL,East,63,9," $133,048,000 ",10.7,32.4,0.249,0.382
2015NYM,2015,Mets,NYM,NL,East,90,20," $100,133,953 ",12.6,33.5,0.244,0.4
2015STL,2015,Cardinals,STL,NL,Central,100,12," $120,301,957 ",10.7,31.2,0.253,0.394
2015SEA,2015,Mariners,SEA,AL,West,76,11," $123,225,842 ",11,31.8,0.249,0.411
2015MIN,2015,Twins,MIN,AL,Central,83,19," $108,262,000 ",11.7,31.2,0.247,0.399
2015MIL,2015,Brewers,MIL,NL,Central,68,21," $98,683,035 ",9.8,31,0.251,0.393
2015TB,2015,Rays,TB,AL,East,80,28," $74,849,584 ",12.8,32.3,0.252,0.406
2015SD,2015,Padres,SD,NL,West,74,10," $126,619,628 ",11.3,30.1,0.243,0.385
2015BAL,2015,Orioles,BAL,AL,East,81,13," $118,862,632 ",12.3,31.7,0.25,0.421
2015LAD,2015,Dodgers,LAD,NL,West,92,1," $230,352,402 ",11.7,32.8,0.25,0.413
2015WSH,2015,Nationals,WSH,NL,East,83,3," $174,510,977 ",9.4,30.6,0.251,0.403
2015HOU,2015,Astros,HOU,AL,West,86,29," $69,064,200 ",13.3,32.4,0.25,0.437
2015CHC,2015,Cubs,CHC,NL,Central,97,15," $117,164,522 ",12.7,32.7,0.244,0.398
