key,year,team,team_id,league,division,wins,payroll_rank,payroll_total,avg_hit_angle,anglesweetspotpercent,avg,slg
2022CWS,2022,White Sox,CWS,AL,Central,81,7," $181,660,734 ",10.6,33.1,0.256,0.387
2022TOR,2022,Blue Jays,TOR,AL,East,92,10," $168,070,905 ",11.2,32.2,0.264,0.431
2022NYM,2022,Mets,NYM,NL,East,101,2," $253,119,999 ",11.9,34.3,0.259,0.412
2022STL,2022,Cardinals,STL,NL,Central,93,12," $150,746,666 ",14.3,33.2,0.252,0.42
2022HOU,2022,Astros,HOU,AL,West,106,11," $163,939,599 ",14.2,33.7,0.248,0.424
2022WSH,2022,Nationals,WSH,NL,East,55,19," $114,623,095 ",10.3,32.4,0.249,0.377
2022COL,2022,Rockies,COL,NL,West,68,16," $129,452,166 ",9.9,32.9,0.254,0.398
2022BOS,2022,Red Sox,BOS,AL,East,78,6," $195,166,000 ",11.4,34.7,0.258,0.409
2022KC,2022,Royals,KC,AL,Central,65,25," $74,110,000 ",12.9,33.9,0.244,0.38
2022LAD,2022,Dodgers,LAD,NL,West,111,1," $277,108,333 ",15.8,36.9,0.257,0.442
2022SD,2022,Padres,SD,NL,West,89,5," $208,772,618 ",13.2,32.7,0.241,0.382
2022PHI,2022,Phillies,PHI,NL,East,87,4," $221,738,462 ",13,34.5,0.253,0.422
2022MIN,2022,Twins,MIN,AL,Central,78,20," $110,859,524 ",13.1,34.6,0.248,0.401
2022BAL,2022,Orioles,BAL,AL,East,83,30," $30,221,166 ",15.5,34,0.236,0.39
2022AZ,2022,D-backs,AZ,NL,West,74,23," $75,993,333 ",12.4,31.1,0.23,0.385
2022NYY,2022,Yankees,NYY,AL,East,99,3," $240,290,714 ",13.3,33.3,0.241,0.426
2022TEX,2022,Rangers,TEX,AL,West,68,14," $134,961,333 ",14,33.2,0.239,0.395
2022TB,2022,Rays,TB,AL,East,86,24," $75,347,813 ",11.4,32.7,0.239,0.377
2022ATL,2022,Braves,ATL,NL,East,101,8," $173,935,000 ",13.5,34.3,0.253,0.443
2022SEA,2022,Mariners,SEA,AL,West,90,22," $92,745,714 ",15,33.6,0.23,0.39
2022CHC,2022,Cubs,CHC,NL,Central,74,15," $130,560,000 ",10.4,32.1,0.238,0.387
2022DET,2022,Tigers,DET,AL,Central,66,18," $116,040,000 ",11.8,34.1,0.231,0.346
